yyyy-mm-dd, hh:mm:ss.ss, lat, lon, depth, ML, Nsta, RMS, intensity, induced, locality
2014-11-22, 21:14:39.1, 54.267, -2.486, 7.1, 0.9, 5, 0.5, , , SEDBERGH,CUMBRIA
2014-11-25, 06:38:05.9, 56.400, -4.817, 7.8, 0.8, 5, 0.2, , , INVERLOCHY,ARGYLL/BUTE
2014-11-25, 06:38:32.2, 56.411, -4.825, 7.7, 0.6, 3, 0.4, , , INVERLOCHY,ARGYLL/BUTE
2014-12-01, 03:56:32.1, 53.855, -3.764, 4.3, 0.9, 7, 0.1, , , IRISH SEA
2014-12-03, 21:57:05.2, 55.802, -3.187, 6.4, 2.0, 12, 0.2, 3 , , PENICUIK,MIDLOTHIAN
2014-12-04, 16:07:06.5, 51.666, -3.114, 6.1, 1.9, 7, 0.1, 2 , , NEWBRIDGE,CAERPHILLY
2014-12-06, 11:05:41.3, 53.682, -1.136, 1.1, 1.9, 7, 0.4, 2 , , HENSALL,N YORKSHIRE
2014-12-09, 07:31:02.0, 53.079, -1.225, 2.4, 2.1, 11, 0.5, 3 , , MANSFIELD,NOTTS
2014-12-11, 18:02:48.0, 52.323, -2.586, 7.0, 0.7, 4, 0.9, , , TENBURY WELLS,WORCS
2014-12-17, 03:46:34.0, 57.702, -4.261, 8.7, 1.2, 7, 0.2, , , ALNESS,HIGHLAND
2014-12-23, 00:15:40.4, 56.084, -5.027, 4.1, 0.6, 4, 0.3, , , LOCH ECK,ARGYLL & BUTE
2014-12-24, 08:21:02.5, 54.510, -3.052, 13.4, 2.0, 9, 0.3, 3 , , GRASMERE,CUMBRIA
2014-12-25, 04:34:14.8, 56.639, -5.248, 7.7, 1.0, 4, 0.1, 2 , , BALLACHULISH,HIGHLAND
2014-12-30, 15:29:31.2, 52.271, -3.175, 9.0, 0.8, 6, 0.1, , , KNIGHTON,POWYS
2015-01-01, 07:11:54.9, 55.043, -2.800, 5.2, 0.4, 4, 0.2, , , BEWCASTLE,CUMBRIA
2015-01-03, 23:17:23.4, 56.804, -4.960, 2.4, 0.6, 4, 0.1, , , FORT WILLIAM,HIGHLAND
2015-01-08, 20:26:58.8, 58.510, -4.684, 7.3, 1.5, 5, 0.6, 2 , , DURNESS,HIGHLAND
2015-01-09, 00:21:58.8, 58.516, -4.672, 6.8, 1.4, 4, 0.4, , , DURNESS,HIGHLAND
2015-01-09, 01:03:21.6, 58.501, -4.675, 7.5, 2.4, 3, 0.1, 3 , , DURNESS,HIGHLAND
2015-01-14, 07:20:49.3, 51.875, -2.273, 15.4, 1.8, 9, 0.3, , , GLOUCESTER,GLOS
2015-01-17, 22:09:08.6, 51.024, -4.686, 8.7, 0.4, 4, 0.2, , , HARTLAND POINT,DEVON
2015-01-18, 15:59:53.5, 53.809, -3.725, 4.4, 0.9, 8, 0.3, , , IRISH SEA
2015-01-19, 03:16:34.1, 53.406, -2.627, 4.2, 1.3, 8, 0.4, 2 , , WARRINGTON,CHESHIRE
