Geo Point;Geo Shape;FCsubtype;inspireId;beginLifes;F_CODE;ICC;EXS;FCO;GAW;LLE;NAMN1;NAMN2;NAMA1;NAMA2;NLN1;NLN2;RCO;RGC;RRA;RSD;RSU;TEN;TUC;Shape_Leng
54.58103939892933, -2.489016174565137;"{""coordinates"": [[-2.490714500000195, 54.58189949999985], [-2.489283500000198, 54.58117499999983], [-2.487318000000187, 54.580178999999845]], ""type"": ""LineString""}";1;_EG.EGM.RailrdL:b8a6b8bf-591c-4931-b424-481298346b;2015-10-26T07:00:00+07:00;AN010;GB;28;11;144;9;N_A;N_A;N_A;N_A;N_A;N_A;N_A;3;4;1;1;1;45;0.003807405019999
53.54418824999983, -1.532650500000201;"{""coordinates"": [[-1.5336955000001922, 53.54352099999983], [-1.531605500000211, 53.54485549999984]], ""type"": ""LineString""}";1;_EG.EGM.RailrdL:ed096736-343f-4f56-9602-17dbc2ce11;2015-10-26T07:00:00+07:00;AN010;GB;28;3;144;1;N_A;N_A;N_A;N_A;N_A;N_A;N_A;3;4;1;1;2;45;0.00247971576
55.96634445323414, -4.58380277030972;"{""coordinates"": [[-4.57845450000019, 55.948751499999844], [-4.581449000000191, 55.95251049999984], [-4.58532200000019, 55.962422999999816], [-4.585896500000189, 55.96481199999982], [-4.585996000000193, 55.97766599999983], [-4.584033500000203, 55.97947849999983], [-4.57978350000019, 55.98188599999983], [-4.579214500000205, 55.98229999999983]], ""type"": ""LineString""}";1;_EG.EGM.RailrdL:62f0ffb6-632c-4e21-a848-323beaf107;2015-10-26T07:00:00+07:00;AN010;GB;28;3;144;1;N_A;N_A;N_A;N_A;N_A;N_A;N_A;3;3;1;1;2;45;0.03901933146
53.244190389953786, -1.211579820025459;"{""coordinates"": [[-1.215472000000204, 53.26076399999985], [-1.215249500000198, 53.25653749999984], [-1.210148500000201, 53.24050299999985], [-1.208065500000203, 53.23158999999984], [-1.209119500000185, 53.227644499999826]], ""type"": ""LineString""}";1;_EG.EGM.RailrdL:e675b09f-4466-4448-9cc7-e16335ce2e;2015-10-26T07:00:00+07:00;AN010;GB;28;11;144;1;N_A;N_A;N_A;N_A;N_A;N_A;N_A;3;4;1;1;2;45;0.03429570624
51.36096680024026, -0.09293538020965701;"{""coordinates"": [[-0.09326000000018601, 51.36335599999984], [-0.093064500000196, 51.36192099999985], [-0.092611500000203, 51.35857749999985]], ""type"": ""LineString""}";1;_EG.EGM.RailrdL:0f81ff9b-09ae-462c-90ac-163c8a56c4;2015-10-26T07:00:00+07:00;AN010;GB;28;11;144;1;N_A;N_A;N_A;N_A;N_A;N_A;N_A;3;1;1;1;2;45;0.00482230413
51.11667649999984, -0.1603077500002;"{""coordinates"": [[-0.16028350000019, 51.11731049999983], [-0.16033200000021, 51.11604249999985]], ""type"": ""LineString""}";1;_EG.EGM.RailrdL:b3acba82-7ab2-4628-b093-2f4781bafa;2015-10-26T07:00:00+07:00;AN010;GB;28;11;144;1;N_A;N_A;N_A;N_A;N_A;N_A;N_A;3;1;1;1;1;45;0.0012689272
52.438912043391376, -0.7587916099045491;"{""coordinates"": [[-0.763111000000208, 52.43997649999982], [-0.7591310000001951, 52.43920649999984], [-0.7545745000001891, 52.437486499999835]], ""type"": ""LineString""}";1;_EG.EGM.RailrdL:ddfa6491-7fcd-4a76-b517-56c21e8254;2015-10-26T07:00:00+07:00;AN010;GB;28;11;144;9;N_A;N_A;N_A;N_A;N_A;N_A;N_A;3;4;1;1;1;45;0.00892412842
55.787812741975664, -3.983818410370837;"{""coordinates"": [[-3.997336000000189, 55.79261449999984], [-3.991863000000194, 55.790775499999825], [-3.984453000000201, 55.788133499999844], [-3.977521500000194, 55.78556249999983], [-3.9704155000002, 55.78270099999983]], ""type"": ""LineString""}";1;_EG.EGM.RailrdL:d128c93c-9e7e-43e9-aeb1-a76c6640b0;2015-10-26T07:00:00+07:00;AN010;GB;28;11;144;1;N_A;N_A;N_A;N_A;N_A;N_A;N_A;3;3;1;1;1;45;0.028694074649999003
51.40996683481429, -0.7394962329411701;"{""coordinates"": [[-0.741235000000188, 51.410316499999844], [-0.739777500000201, 51.41002349999985], [-0.737757500000185, 51.409616999999855]], ""type"": ""LineString""}";1;_EG.EGM.RailrdL:3562dd9b-e2c7-4c1c-9a8b-2ac7398c5f;2015-10-26T07:00:00+07:00;AN010;GB;28;11;144;9;N_A;N_A;N_A;N_A;N_A;N_A;N_A;3;1;1;1;2;45;0.0035471547199990004
55.8550865376202, -4.030592705177145;"{""coordinates"": [[-4.028125000000188, 55.85525399999983], [-4.029309500000181, 55.855177999999825], [-4.030538500000205, 55.855091499999844], [-4.033060000000205, 55.85491299999984]], ""type"": ""LineString""}";1;_EG.EGM.RailrdL:af76407a-ee5e-4497-9fd7-a39b60e0d8;2015-10-26T07:00:00+07:00;AN010;GB;28;11;144;9;N_A;N_A;N_A;N_A;N_A;N_A;N_A;3;4;1;1;2;45;0.004946786149999
